iter	RMSE
0	12.98166594
1	11.93018003
2	10.8964487
3	10.11498254
4	9.324695466
5	8.624895994
6	7.962078706
7	7.362683333
8	6.776502692
9	6.231262966
10	5.789280411
11	5.358350955
12	4.977490693
13	4.611105612
14	4.301959187
15	3.989728129
16	3.69508983
17	3.438031228
18	3.217349248
19	2.990311197
20	2.79718653
21	2.621296848
22	2.444030547
23	2.284191746
24	2.144870387
25	2.012950195
26	1.888866424
27	1.769187389
28	1.671405204
29	1.589171185
30	1.504183945
31	1.424386874
32	1.360077831
33	1.292048718
34	1.238559567
35	1.188826534
36	1.137547082
37	1.093976004
38	1.056211114
39	1.022310113
40	0.9892987047
41	0.9589503514
42	0.9354735898
43	0.9138843104
44	0.8907065031
45	0.87263917
46	0.8532120503
47	0.8343261276
48	0.8191567519
49	0.8063009876
50	0.7919114821
51	0.7790426218
52	0.7657354008
53	0.7549723363
54	0.7515797405
55	0.7421999136
56	0.7315370459
57	0.7270917671
58	0.7183616744
59	0.7145942555
60	0.7064918587
61	0.6990185239
62	0.6957778723
63	0.6937480408
64	0.6898637478
65	0.6832776425
66	0.6781969841
67	0.6737762844
68	0.6670945383
69	0.6603202506
70	0.6572252987
71	0.6556575362
72	0.6543835948
73	0.6530124271
74	0.6517733045
75	0.6491074696
76	0.6415385271
77	0.6405248821
78	0.6334279742
79	0.6313809201
80	0.6241563555
81	0.6231876613
82	0.6164370976
83	0.6140298663
84	0.6111789687
85	0.6081791603
86	0.6055073092
87	0.6047046322
88	0.6000367118
89	0.5965768302
90	0.5960866661
91	0.595425568
92	0.5948084784
93	0.5937380587
94	0.5902283956
95	0.5861444449
96	0.5856426551
97	0.581171428
98	0.5779358469
99	0.577489613
100	0.5727969062
101	0.567977043
102	0.5675777487
103	0.5633242308
104	0.562957728
105	0.5563134427
106	0.5502980658
107	0.5445392664
108	0.5408723212
109	0.5376811563
110	0.5344923558
111	0.5322768564
112	0.5287245003
113	0.5258330718
114	0.5212332711
115	0.516239441
116	0.5125780349
117	0.5057664403
118	0.5018038222
119	0.4979227632
120	0.4942337969
121	0.4907070942
122	0.4871439881
123	0.4838613952
124	0.4813365279
125	0.4785726899
126	0.476104766
127	0.4729172349
128	0.4692880525
129	0.4671679465
130	0.4647722325
131	0.4621469966
132	0.4591416565
133	0.4551978311
134	0.4530874765
135	0.4478379326
136	0.4465106231
137	0.442246678
138	0.4384912527
139	0.4357886637
140	0.4326798144
141	0.4309289824
142	0.4294588408
143	0.4259647204
144	0.4244772224
145	0.4221359947
146	0.4196255301
147	0.4170604724
148	0.4151686599
149	0.413122985
150	0.4101379621
151	0.4074349513
152	0.4047973257
153	0.4039761109
154	0.400808743
155	0.3974061561
156	0.3958358469
157	0.3940722453
158	0.391755012
159	0.3887457601
160	0.3871134837
161	0.3861403526
162	0.3844464201
163	0.3817334185
164	0.3790897399
165	0.3787881097
166	0.3761897277
167	0.3728408538
168	0.3712268443
169	0.3700368403
170	0.3677413279
171	0.3663804045
172	0.3641705915
173	0.3629666612
174	0.3612803864
175	0.3596297458
176	0.3577462622
177	0.355388356
178	0.3535281339
179	0.3518893406
180	0.3502665604
181	0.3490969631
182	0.3479612178
183	0.3466541912
184	0.3448923638
185	0.3425661448
186	0.3414879549
187	0.3391160957
188	0.3372290285
189	0.3357744956
190	0.3348535269
191	0.3326984366
192	0.3315876759
193	0.3305502689
194	0.3279765397
195	0.3257460862
196	0.324939334
197	0.3232276524
198	0.3208878265
199	0.3180668129
200	0.3167051609
201	0.3149902823
202	0.3128105544
203	0.3121460177
204	0.3108290937
205	0.3091898694
206	0.3079114308
207	0.3059365026
208	0.305119286
209	0.3033722767
210	0.3019337695
211	0.30088847
212	0.3001118414
213	0.298604701
214	0.2969213459
215	0.2963662361
216	0.2954441093
217	0.2939569923
218	0.2922743264
219	0.2902673852
220	0.2888113208
221	0.2877426328
222	0.2861286248
223	0.285244594
224	0.2838233454
225	0.2828912309
226	0.28209484
227	0.2809238337
228	0.2798282647
229	0.2791076049
230	0.2786467388
231	0.2770659585
232	0.2765493395
233	0.2752473323
234	0.2741718435
235	0.273473749
236	0.2720364716
237	0.2704825151
238	0.2689521494
239	0.2677603483
240	0.2671833679
241	0.2663094134
242	0.2655994028
243	0.265034398
244	0.263395823
245	0.2621651732
246	0.2606283522
247	0.2599658644
248	0.2589486875
249	0.2576322444
250	0.2564457832
251	0.2554789934
252	0.2540707688
253	0.2535074373
254	0.2516478791
255	0.2505322765
256	0.2498658038
257	0.2489413631
258	0.2477492466
259	0.2465591119
260	0.245889348
261	0.2448250969
262	0.243797985
263	0.2423697226
264	0.2413330811
265	0.2406168181
266	0.2398528006
267	0.2391952481
268	0.2379682522
269	0.2369218182
270	0.2361576508
271	0.2354391458
272	0.2348593742
273	0.2340641785
274	0.2328688284
275	0.232229613
276	0.2312349494
277	0.2302983457
278	0.229265869
279	0.2282002332
280	0.2272578651
281	0.2268843376
282	0.2263089363
283	0.2250857526
284	0.2242704195
285	0.2233343797
286	0.2227568998
287	0.2220591008
288	0.2208437817
289	0.2204191008
290	0.2200366446
291	0.2196208847
292	0.2187316696
293	0.2177880663
294	0.2173765417
295	0.2169863679
296	0.2165782446
297	0.2156258677
298	0.2146247086
299	0.2137057591
